,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,1/1/2024,1/2/2024,1/3/2024,1/4/2024,1/5/2024,1/6/2024,1/7/2024,1/8/2024,1/9/2024,1/10/2024,1/11/2024,1/12/2024,1/13/2024,1/14/2024,1/15/2024,1/16/2024,1/17/2024,1/18/2024,1/19/2024,1/20/2024,1/21/2024,1/22/2024,1/23/2024,1/24/2024,1/25/2024,1/26/2024,1/27/2024,1/28/2024,1/29/2024,1/30/2024,1/31/2024,,,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,228.75,243,461.25,396.5,1459.5,384,830,153,404.25,562.5,505,852.5,347.5,831.5,243,283.5,695.25,500,458,520,804.5,261,274.5,438,764.5,491,670,764,335.25,282,392.25,,,,,,,,,,
,,,crossword,sal,raw,165.75,265.5,307.5,343.5,984,358,1273,149.25,324.75,755.25,333.5,894,402.5,722.5,225,267,504,528,368,420,744,203.25,279,358.5,441,251,462.5,692.5,217.5,246.75,372.75,,,,,,,,,,
,,,crossword,bob,raw,198,194,376,383,969,766,1005,164,365,414,442,659,503,772,223,328,335,473,601,575,921,240,229,268,599,495,475,856,197,365,255,,,,,,,,,,
,,,crossword,stolowd,raw,243,246,346.5,393,1139,1800,1800,222.75,432,640.5,506,830.5,380,861,276.75,449.25,352.5,1515.5,705.5,469.5,634.5,402.75,363,348.75,511,311.5,383,737.5,323.25,537.75,394.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,4,3,,,,,,,,,,
,,,connections,sal,raw,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,5,5,0,5,5,5,5,5,,,,,,,,,,
,,,connections,bob,raw,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,,,,,,,,,,
,,,connections,stolowd,raw,5,5,5,5,5,5,5,4,3,3,5,5,5,5,5,5,5,5,5,5,2,5,4,5,4,5,5,5,5,0,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stars,waffle,sary,raw,3,4,4,5,5,4,4,5,3,4,2,4,5,5,5,4,3,2,4,5,4,5,4,4,5,5,4,5,3,3,2,,,,,,,,,,
,,,waffle,sal,raw,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,0,5,5,0,5,5,,,,,,,,,,
