,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,2/1/2024,2/2/2024,2/3/2024,2/4/2024,2/5/2024,2/6/2024,2/7/2024,2/8/2024,2/9/2024,2/10/2024,2/11/2024,2/12/2024,2/13/2024,2/14/2024,2/15/2024,2/16/2024,2/17/2024,2/18/2024,2/19/2024,2/20/2024,2/21/2024,2/22/2024,2/23/2024,2/24/2024,2/25/2024,2/26/2024,2/27/2024,2/28/2024,2/29/2024,,,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,610,1139.5,867.5,927,279,411.75,888.75,503.5,1069.5,456.5,542,207.75,366.75,936,841,275,618.5,751.5,345.75,425.25,399,503.5,506.5,827,689,214.5,213.75,492.75,437,,,,,,,,,,
,,,crossword,sal,raw,709,584.5,1017.5,639.5,186.75,317.25,489.75,364.5,721.5,460,831,162,255.75,1026,498,405,479.5,570.5,174,373.5,267.75,448.5,373.5,585,707,216.75,156.75,317.25,286.5,,,,,,,,,,
,,,crossword,bob,raw,695,776,641,823,194,263,603,518,527,654,663,215,227,455,469,366,781,820,191,314,258,440,447,875,824,185,209,242,389,,,,,,,,,,
,,,crossword,stolowd,raw,1800,510.5,686,1800,261,312,467.25,459,1021.5,685.5,653,315,321.75,546,429.5,496.5,532.5,726,400.5,1800,409.5,465.5,636.5,472,637,245.25,288.75,414,313,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,4,5,5,5,3,5,5,5,0,4,5,0,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,,,,,,,,,,
,,,connections,sal,raw,5,5,5,5,5,5,5,5,0,4,5,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,,,,,,,,,,
,,,connections,bob,raw,0,5,5,5,5,5,5,5,5,0,5,5,4,5,3,5,5,5,5,5,4,0,5,5,5,5,4,5,5,,,,,,,,,,
,,,connections,stolowd,raw,0,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,0,5,5,5,5,5,5,5,5,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stars,waffle,sary,raw,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,,,,,,,,,,
,,,waffle,sal,raw,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,
,,,waffle,bob,raw,3,3,2,3,5,2,5,3,4,4,4,3,3,4,3,3,1,5,4,3,2,2,1,4,5,5,4,4,3,,,,,,,,,,
