,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,2/1/2025,2/2/2025,2/3/2025,2/4/2025,2/5/2025,2/6/2025,2/7/2025,2/8/2025,2/9/2025,2/10/2025,2/11/2025,2/12/2025,2/13/2025,2/14/2025,2/15/2025,2/16/2025,2/17/2025,2/18/2025,2/19/2025,2/20/2025,2/21/2025,2/22/2025,2/23/2025,2/24/2025,2/25/2025,2/26/2025,2/27/2025,2/28/2025,,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,481.5,1261.5,222.75,526.5,687,359,522,680,497,255,266.25,477,687.5,383.5,1588,753.5,276.75,293.25,438,409,607,522.5,737.5,302.25,321,672.75,408.5,354,,,,,,,,,
,,,crossword,sal,raw,550,1667,190,327,378,566,732,350,757,211,349,389,480,704,1686,1384,229,287,311,469,895,484,903,233,270,746,353,619,,,,,,,,,
,,,crossword,bob,raw,656,1079,229,475,395,480,525,711,698,180,230,505,675,478,1211,744,271,266,284,518,614,732,962,229,302,533,470,505,,,,,,,,714.6666667,
,,,crossword,stolowd,raw,1800,1158,291.75,486,616.5,391.5,297.5,525,522.5,194.25,1800,524.25,403.5,375,706.5,597.5,225,369,300,488.5,545.5,539,590.5,237,555,789.75,437.5,373.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,5,5,5,5,5,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,
,,,connections,sal,raw,5,0,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,,,,,,,,,
,,,connections,bob,raw,5,5,5,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,0,5,0,5,5,3,0,5,5,5,,,,,,,,,
,,,connections,stolowd,raw,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,0,5,4,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,seconds,pyramid,sary,raw,107,171,267,96,41,80,44,59,256,183,14,29,97,11,11,44,84,43,84,25,14,77,86,20,12,97,10,31,,,,,74.75,,,,
,,,pyramid,sal,raw,37,15,147,18,19,84,19,6,198,53,21,55,29,4,12,21,40,32,17,34,26,36,30,18,7,55,6,37,,,,,38.42857143,,,,
,,,pyramid,bob,raw,47,16,300,72,33,146,300,30,305,70,51,25,13,10,23,148,30,51,57,29,37,36,193,22,13,57,18,76,,,,,78.85714286,,,,
,,,pyramid,stolowd,raw,41,49,13,16,16,23,49,11,45,192,22,82,31,7,17,129,18,10,39,55,21,19,150,14,14,13,23,9,,,,,40.28571429,,,,
