,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,3/1/2025,3/2/2025,3/3/2025,3/4/2025,3/5/2025,3/6/2025,3/7/2025,3/8/2025,3/9/2025,3/10/2025,3/11/2025,3/12/2025,3/13/2025,3/14/2025,3/15/2025,3/16/2025,3/17/2025,3/18/2025,3/19/2025,3/20/2025,3/21/2025,3/22/2025,3/23/2025,3/24/2025,3/25/2025,3/26/2025,3/27/2025,3/28/2025,3/29/2025,3/30/2025,3/31/2025,,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,389,1361,209.25,317.25,487.5,303.5,486.5,697.5,1348.5,261,372,417.75,406,543.5,510,669.5,256.5,233.25,459,235.5,451.5,755,752,202.5,321.75,444.75,604.5,418,372,969.5,216.75,,,,,,,,,
,,,crossword,sal,raw,1089,1829,216,228,471,514,530,1673,1800,235,310,631,703,596,804,1800,278,271,304,485,391,1219,1030,185,348,362,750,1162,1044,1025,236,,,,,,,,,
,,,crossword,bob,raw,839,1099,184,243,426,380,551,622,973,278,291,320,483,596,638,1245,245,286,308,337,482,862,797,183,288,354,657,622,623,1002,239,,,,,,,,,
,,,crossword,stolowd,raw,1197.5,1020,268.5,333,459,393,409.5,455.5,1800,340.5,344.25,477.75,334,590.5,835.5,625,241.5,308.25,489,235,401,878.5,709.5,288.75,362.25,395.25,1800,514,756,882.5,288,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,4,5,5,5,3,5,5,5,5,5,5,0,5,5,5,5,5,4,5,3,4,4,5,5,5,5,5,5,5,5,5,,,,,,,,,
,,,connections,sal,raw,2,5,5,0,5,0,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,0,5,5,5,5,,,,,,,,,
,,,connections,bob,raw,5,5,4,4,4,0,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,0,5,5,5,5,5,5,5,5,,,,,,,,,
,,,connections,stolowd,raw,5,0,3,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,0,5,5,5,5,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,seconds,pyramid,sary,raw,22,55,60,224,18,35,113,243,12,51,133,18,164,17,156,28,21,31,62,73,218,20,31,17,51,79,161,300,137,24,58,,,,,,,,,
,,,pyramid,sal,raw,39,53,22,20,53,32,99,20,34,7,22,35,65,9,10,13,25,50,11,50,58,8,19,23,32,76,82,300,34,15,104,,,,,,,,,
