,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,puz,player,cat.,10/1/2024,10/2/2024,10/3/2024,10/4/2024,10/5/2024,10/6/2024,10/7/2024,10/8/2024,10/9/2024,10/10/2024,10/11/2024,10/12/2024,10/13/2024,10/14/2024,10/15/2024,10/16/2024,10/17/2024,10/18/2024,10/19/2024,10/20/2024,10/21/2024,10/22/2024,10/23/2024,10/24/2024,10/25/2024,10/26/2024,10/27/2024,10/28/2024,10/29/2024,10/30/2024,10/31/2024,,,,month champ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,time x handicap,crossword,sary,raw,325.5,578.25,771.5,556,814,673,239.25,403.5,377.25,349,508,1120.5,510,177,468.75,453,453.5,717,1800,868.5,234.75,292.5,455.25,714,831.5,994,891.5,166.5,282,359.25,1057.5,,,,,,,,
,,,crossword,sal,raw,221.25,471.75,364,748,696.5,922.5,178.5,387.75,247.5,304,256,735,463,154.5,189,337.5,365,275.5,488.5,761.5,204.75,232.5,310.5,596.5,243.5,678.5,685.5,171,183,221.25,726,,,,,,,,
,,,crossword,bob,raw,300,304,803,579,613,921,177,258,382,490,578,859,684,174,271,341,389,1800,838,795,341,331,313,722,538,945,977,158,238,322,813,,,,,,,714.6666667,
,,,crossword,stolowd,raw,325.5,404.25,579.5,1800,1800,795.5,243.75,757.5,429.75,591.5,1005,592.5,542.5,213.75,321,480,310.5,425,1331,780,289.5,349.5,1000,910,580.5,608,922.5,210.75,261.75,559.5,1800,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5,4,3,2,0",connections,sary,raw,5,5,5,5,5,5,5,5,3,0,5,5,5,5,5,4,5,5,5,5,5,5,3,0,5,5,0,5,0,5,3,,,,,,,,
,,,connections,sal,raw,0,5,4,5,5,5,5,4,0,5,5,5,0,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,0,5,4,,,,,,,,
,,,connections,bob,raw,5,0,4,5,5,0,5,5,3,5,5,5,4,5,4,4,5,0,5,5,5,5,4,0,5,5,5,5,3,5,0,,,,,,,,
,,,connections,stolowd,raw,5,5,5,5,5,5,5,4,0,4,5,5,0,5,3,5,0,5,5,5,5,5,5,5,2,5,5,0,5,3,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,seconds,pyramid,sary,raw,148,203,107,20,225,46,81,21,8,37,258,89,12,67,20,86,61,61,296,87,18,17,23,131,46,10,49,29,11,8,11,,,,,,,,
,,,pyramid,sal,raw,27,65,20,18,123,17,12,13,33,51,15,15,20,9,15,21,8,64,108,20,21,7,43,18,62,13,20,23,8,37,18,,,,,,,,
